DDCTransactionId2A89C247412736FD9E04418CDE0A798F_27, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf13D2B0DF__56CA7C62E20C758D69F0DD0A4FBA588E9B8501DA, StartTime=2015.12.07-16.33.35, HierarchicalDDC, DataSize=60866 bytes, Retrieved=true, Duration=14.488809ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_28, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf8AE21826__7194F2C0E11F2239693964320A59D39936B89605, StartTime=2015.12.07-16.33.35, HierarchicalDDC, DataSize=13076 bytes, Retrieved=true, Duration=9.805724ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_29, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_6D__464B476120AE22BDD787DC13E746A5F534FB971A, StartTime=2015.12.07-16.33.35, HierarchicalDDC, DataSize=4601 bytes, Retrieved=true, Duration=0.043176ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_30, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C33D81C24393A1288FAD6F85644FF32__08679E0F0EDF248D8827E1C740FF1E3AC5C9685A, StartTime=2015.12.07-16.33.35, HierarchicalDDC, DataSize=2638 bytes, Retrieved=true, Duration=0.041675ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_31, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C33D81C24393A1288__0949F2DB7DD2A51B20D1C7A644D27F8090FD7508, StartTime=2015.12.07-16.33.35, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.038680ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_32, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf73E35E74__6A7247B0617031C12C5991448722ACEE1F6F0537, StartTime=2015.12.07-16.33.35, HierarchicalDDC, DataSize=10935 bytes, Retrieved=true, Duration=3.404297ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_33, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufDC721E05__51136511CED00EA7FBD6378B299EE26E5E0D688C, StartTime=2015.12.07-16.33.35, HierarchicalDDC, DataSize=41213 bytes, Retrieved=true, Duration=0.363994ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_34, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufEE932653__55159D3DDCA63EA1E4186ACA36C38821F039F3E7, StartTime=2015.12.07-16.33.35, HierarchicalDDC, DataSize=64177 bytes, Retrieved=true, Duration=0.366095ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_35, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD10B7D22__A521E927E6B838BD55FDEA6F43DCEA39C2E2ABE9, StartTime=2015.12.07-16.33.35, HierarchicalDDC, DataSize=19576 bytes, Retrieved=true, Duration=0.626650ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_36, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf_TAtmosphe__CFD23D7E0ACEFC0B0B224E6D90B3E2AD598FA4F1, StartTime=2015.12.07-16.33.41, HierarchicalDDC, DataSize=1594531 bytes, Retrieved=true, Duration=31.447935ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
