DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_24, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBufAC9EF8__5E32FC9862E4AC7552544C3C7D6A6A254898443A, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=551237 bytes, Retrieved=true, Duration=0.265352ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_25, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBufAC9EF8__AAF15D4CBCD3CD060022FA0C939E87682BFA8E5B, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=473472 bytes, Retrieved=true, Duration=0.392780ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_26, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBufA65D8B__8A85873DB3A115F5B74F8FEE2DB85A3E5AFC848C, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=2218894 bytes, Retrieved=true, Duration=1.487173ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_27, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBufA65D8B__33AB18E930EF8D51D2DA048CF52B5292A8624CE7, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=1802332 bytes, Retrieved=true, Duration=1.834679ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_28, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_D8__AB7440EC4758A80E781CBED1E2F4D9CABBC9ECB2, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=15569 bytes, Retrieved=true, Duration=0.042576ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_29, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0B92E78C4DB1EF7D0C58D2A05F1E4C3__0A0B313B1A847E9E2D62BADAF19988370A263D03, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=5412 bytes, Retrieved=true, Duration=0.036880ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_30, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_0B92E78C4DB1EF7D0__37187FC2FA1D1A6D05AD3EE83DD7C240C6A96004, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=393 bytes, Retrieved=true, Duration=0.033882ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_31, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBufE8B628__03B08605D18E6A9723A6BD4C124A32B4FE967E77, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=125899 bytes, Retrieved=true, Duration=0.115737ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_32, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBufE8B628__9E93AAB4308F7B4B1C317B3591E9244E52830B76, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=125368 bytes, Retrieved=true, Duration=0.125628ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_33, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBufE8B628__C42139F8EA1C18F1B9DC2E163045DC4D35BA20D6, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=90695 bytes, Retrieved=true, Duration=0.131626ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
